id,cohort,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
1001,3,0.1626,0.6833,0.1574,0.0372,0.4986,0.5543,0.6885,0.9457,0.3768,0.8263,0.1611
1002,3,0.4885,0.0671,0.3967,0.1508,0.2813,0.9140,0.9744,0.5001,0.7415,0.1433,0.6300
1003,1,0.5701,0.2687,0.5505,0.6600,0.3395,0.1913,0.7744,0.2459,0.6885,0.4196,0.7825
1004,5,0.2304,0.1752,0.8632,0.8767,0.0848,0.4791,0.1355,0.0704,0.2738,0.5710,0.7148
1005,2,0.1889,0.3269,0.6919,0.0546,0.2044,0.4332,0.3208,0.7732,0.9607,0.3940,0.3649
1006,1,0.0346,0.5100,0.3941,0.2454,0.3464,0.5796,0.0288,0.5725,0.4841,0.8659,0.1250
1007,2,0.3329,0.6062,0.4647,0.4368,0.4183,0.4220,0.5415,0.7725,0.9646,0.7563,0.0912
1008,4,0.9597,0.0279,0.7550,0.0825,0.3586,0.9100,0.8380,0.8261,0.5797,0.5779,0.5955
1009,5,0.4598,0.7942,0.9434,0.8632,0.9584,0.9450,0.4911,0.6889,0.8194,0.3394,0.1868
1010,2,0.5946,0.0903,0.2660,0.5296,0.8760,0.1829,0.4648,0.8251,0.5432,0.5147,0.4167
1011,2,0.3859,0.1039,0.0025,0.6594,0.2954,0.1454,0.4811,0.0213,0.8179,0.4372,0.2485
1012,4,0.9897,0.6460,0.9287,0.5154,0.5921,0.9251,0.5820,0.1568,0.9163,0.5700,0.0391
1013,1,0.6772,0.2221,0.9027,0.4947,0.2330,0.1438,0.0762,0.7977,0.5212,0.8838,0.4368
1014,4,0.7866,0.3459,0.1766,0.9548,0.2790,0.0818,0.0740,0.3410,0.4281,0.2699,0.7947
1015,5,0.6155,0.2190,0.7020,0.7069,0.1646,0.6573,0.2686,0.3713,0.7512,0.0034,0.3092
1016,2,0.5290,0.3108,0.8007,0.3643,0.1851,0.2223,0.0408,0.9419,0.1189,0.6088,0.4105
1017,3,0.6586,0.9540,0.7265,0.0601,0.7708,0.0413,0.1996,0.7667,0.7446,0.5461,0.7748
1018,4,0.9850,0.7730,0.3467,0.5033,0.5239,0.2235,0.3563,0.3035,0.2386,0.2078,0.6996
1019,4,0.6073,0.7382,0.4366,0.6563,0.7946,0.2247,0.6948,0.0229,0.8089,0.2372,0.1667
1020,1,0.3625,0.4816,0.4846,0.4391,0.5852,0.6092,0.7318,0.7182,0.0008,0.1580,0.3517
