id,cohort,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
1001,2001,0,0,50946,67563,0,69576,62053,92315,65162,58849,75333
1002,2003,0,66693,55323,94396,0,0,0,0,74374,0,84450
1003,2004,46709,77580,41597,0,52544,76509,86545,59715,77294,0,0
1004,2002,63275,0,49869,0,0,99145,92381,84759,65533,99920,89130
1005,2004,91022,0,47965,52603,42938,0,85323,80231,98411,66628,45548
1006,2004,0,0,74624,69455,53659,0,64512,0,72783,47393,58521
1007,2003,72493,66908,0,82197,50887,0,70167,61056,77501,87529,43195
1008,2000,94130,96536,59886,0,51976,0,70207,93803,49898,46806,0
1009,2002,0,92288,96665,0,40776,0,0,99417,62885,59705,0
1010,2000,0,43237,0,55009,0,78424,0,99895,0,0,0
1011,2002,0,0,0,65196,0,45614,0,0,54259,46628,88684
1012,2000,47744,87185,0,0,45473,77612,41667,96494,53405,90880,56238
1013,2002,0,0,48143,0,0,93083,0,72857,0,81718,68672
1014,2001,0,0,42132,0,0,50034,0,0,74123,75794,0
1015,2001,0,0,67424,0,77505,0,0,0,0,81420,0
1016,2004,0,41572,0,40541,0,63385,0,0,84484,0,0
1017,2000,70450,99478,84570,0,55486,68671,90621,0,67987,85936,0
1018,2003,78586,58706,0,77672,89297,0,40790,74168,67124,0,0
1019,2004,0,66137,51898,64065,82889,78604,0,0,76832,40424,50098
1020,2000,0,0,0,0,59165,90976,72003,89683,0,94049,95816
1021,2004,68461,0,0,48454,0,50914,0,55825,95480,50996,99397
1022,2001,0,94850,0,0,64233,0,0,65437,57605,58894,96289
1023,2002,84392,85395,0,0,86272,0,81049,54220,58824,0,99846
1024,2004,75397,0,86316,57918,97041,0,85001,0,45043,40706,63950
1025,2004,44301,86594,77682,50771,52011,0,0,0,0,54518,0
1026,2001,55783,52430,0,92160,0,55988,88848,75058,0,0,82866
1027,2003,46186,0,56023,86584,0,91478,69611,57392,47960,51048,0
1028,2004,69747,68842,0,66920,74283,46175,54756,83028,0,52144,97497
1029,2000,70098,77368,44810,84720,0,67420,72651,48915,77677,0,0
1030,2004,89755,61066,52641,0,83213,0,0,0,67902,67822,0
1031,2003,55416,85694,97583,0,0,0,80518,62440,74940,0,89960
1032,2003,0,0,47224,63402,83783,97756,50719,61554,97293,0,94286
1033,2000,57857,0,92597,0,59312,0,70116,0,0,41937,0
1034,2004,0,57663,87158,65194,0,0,0,48277,90325,94030,0
1035,2000,65103,87120,62711,0,50765,86926,0,61306,0,63846,90474
1036,2000,0,0,0,53978,0,53254,0,59244,42210,56769,0
1037,2003,0,90680,0,0,75876,0,60462,0,51543,56617,99769
1038,2004,66559,0,0,0,0,73561,0,89735,46794,0,0
1039,2003,88602,0,59970,0,94173,79247,0,69209,0,58790,55614
1040,2002,73196,0,0,0,0,0,0,43222,74366,43776,53867
1041,2002,0,0,61254,0,49376,0,78994,71258,79981,66892,67038
1042,2000,51456,70015,67740,46135,0,98399,65406,0,0,71002,78702
1043,2004,0,0,86673,88949,87459,86201,51628,61789,60982,0,41660
1044,2003,0,57079,49711,0,79437,0,56929,96998,41473,0,0
1045,2000,80863,0,84240,0,96007,44179,0,92168,0,83051,69846
1046,2000,0,0,0,0,41738,68141,57695,0,74736,0,92573
1047,2000,85389,65798,40018,78027,47266,0,0,0,0,86723,0
1048,2001,0,51389,0,80281,44569,59137,51709,66405,0,99587,76760
1049,2003,93466,66198,0,66818,41109,0,41798,0,80892,87275,52723
1050,2000,0,0,0,0,0,93258,42553,88396,0,58997,0
1051,2003,50830,56645,62337,0,42710,58155,98062,64647,58975,56207,50409
1052,2001,0,71177,46197,96665,75241,59600,0,0,97425,0,47227
1053,2001,96746,92050,89301,0,74443,50776,47571,71657,85696,0,0
1054,2002,0,80500,63161,0,60598,0,0,76844,63898,0,0
1055,2004,47821,84103,65038,51540,69059,99707,84435,72760,0,0,90603
1056,2000,0,0,0,64600,90833,86000,0,0,81376,0,87312
1057,2001,60728,75513,75300,62636,66799,0,0,0,92919,49731,76005
1058,2002,81353,0,0,0,66372,0,83344,0,95934,99483,0
1059,2000,46995,97528,94830,0,0,76631,47504,90903,45436,70960,0
1060,2001,0,40117,44038,0,54538,0,41934,0,80223,0,96477
1061,2000,0,52133,0,84240,0,0,0,76215,50128,94249,0
1062,2003,86290,0,0,59650,76780,0,0,71186,87020,88096,52918
1063,2000,0,80913,61950,0,79523,0,53846,91043,78236,53455,45601
1064,2001,59488,41323,0,0,97713,92162,0,72195,0,0,46834
1065,2003,0,67509,47244,0,85633,0,86146,92708,0,0,79983
1066,2003,85361,0,91149,0,0,44476,0,0,0,58002,62717
1067,2003,83311,0,0,44673,60457,72051,81576,55021,76837,0,85363
1068,2004,84002,0,0,68940,48405,0,76359,0,76616,0,72178
1069,2004,48770,0,0,0,0,0,99155,0,0,50555,0
1070,2001,41469,58622,0,94237,0,51005,40268,0,86915,41933,0
1071,2004,0,71913,98623,78866,64306,54522,0,41679,54388,0,57510
1072,2003,0,95663,70127,90767,73839,95610,0,74280,76766,45232,84543
1073,2001,0,41574,0,42936,48123,0,63259,53790,88233,0,88540
1074,2001,87185,51606,88041,58544,54701,0,0,60112,67554,0,0
1075,2000,72458,84778,0,98236,0,0,96184,69079,43592,0,0
1076,2004,0,81872,93716,0,44289,0,41651,70858,76039,0,43189
1077,2000,47479,81488,52253,0,0,50590,0,40805,0,99647,0
1078,2000,86925,88355,66355,0,62749,0,92137,0,0,87125,0
1079,2001,0,60392,83728,0,90534,67596,0,71730,43270,85841,90133
1080,2002,48220,89101,91073,58131,0,0,0,0,0,0,74567
1081,2004,0,0,91371,44580,0,81362,0,90325,49366,0,58582
1082,2002,0,0,0,0,0,94032,0,0,82395,82522,0
1083,2003,51657,0,77593,0,52111,45132,95472,0,0,76167,75620
1084,2003,0,0,0,46507,0,72757,69529,0,0,64064,56803
1085,2001,96833,57892,84200,0,0,80535,0,56631,79932,0,97232
1086,2002,77427,0,0,0,94062,63490,91567,0,72056,85221,0
1087,2003,0,63440,0,0,0,66527,63263,0,0,91142,48842
1088,2003,0,73657,85366,95937,0,94952,0,71381,57044,40363,87359
1089,2004,0,0,0,0,0,0,66969,80069,54199,65340,71729
1090,2001,76042,54944,66480,44645,0,0,0,0,0,54511,0
1091,2003,72746,0,55190,49437,82541,73137,56225,0,78792,40992,86735
1092,2000,0,66109,0,89122,53031,54065,59149,62068,97366,77526,0
1093,2002,56632,0,83356,88265,52251,57830,56330,76417,0,62013,51322
1094,2000,0,0,0,62284,84753,77125,59703,0,76468,0,0
1095,2003,0,69074,0,57929,0,99683,0,58576,0,61407,0
1096,2001,41156,0,88710,70305,0,69705,84355,54401,91809,0,61769
1097,2002,69000,0,0,88669,63757,0,50385,97665,46315,63907,0
1098,2000,0,0,62943,0,44260,0,47471,70574,79577,0,0
1099,2002,58527,0,0,62448,0,93742,89380,86967,99725,56517,41861
1100,2000,77300,85949,69832,79743,0,72947,84130,0,0,0,0
1101,2003,48151,0,66901,0,0,97259,68889,94565,81896,81882,74962
1102,2000,0,0,45033,96614,0,69940,52398,77023,48082,66260,76010
1103,2004,75642,0,57805,48557,0,0,82160,97526,43061,0,60432
1104,2002,52059,0,60528,0,0,49667,0,64069,44137,0,85613
1105,2000,79780,68575,0,65575,0,0,0,0,93918,0,0
1106,2000,64098,43761,71923,92487,92214,0,81799,0,0,89095,0
1107,2000,0,45031,91172,78259,67590,81585,0,53738,94823,86165,0
1108,2003,0,94973,44583,47250,0,0,68410,78263,0,0,0
1109,2001,0,46013,0,74883,0,79530,0,0,40380,68672,0
1110,2003,0,91988,72264,0,0,95636,0,80525,0,0,88252
1111,2003,44676,0,0,71019,48910,82562,0,61451,43121,0,46501
1112,2003,0,0,0,54138,0,0,64303,0,79785,0,93533
1113,2002,66675,86897,70251,79389,65607,0,0,60708,0,67758,97576
1114,2003,56853,56647,67674,0,68724,0,63546,0,0,0,71227
1115,2004,42483,0,89584,71807,0,79011,0,72807,65763,0,87364
1116,2002,0,0,76488,57092,0,77650,0,0,42352,90732,0
1117,2003,67093,44601,97295,0,0,51699,65521,0,0,59091,57266
1118,2004,0,83707,0,0,57800,0,0,65548,51501,88677,46964
1119,2002,92501,0,0,78284,0,0,0,0,47385,0,0
1120,2001,87270,67396,72409,65271,53964,48191,0,86210,93005,99553,0
1121,2000,68387,92376,88790,61480,75512,69757,61282,75992,0,49838,54343
1122,2004,88055,0,49198,56799,90691,63017,0,93447,83205,41258,81999
1123,2003,87919,0,72482,0,91936,0,83821,75858,0,47439,78270
1124,2002,64451,84146,49539,84342,0,42011,48372,75674,43253,44330,0
1125,2003,0,61554,0,59361,0,98243,0,89554,90652,64965,90476
